Original entry,New entry
Jahrbu¨cher fu¨r national¨okonomie und statisti,Jahrbucher fur nationalokonomie und statistik
Jahrbu¨cher fu¨r national¨okonomie und statistik,Jahrbucher fur nationalokonomie und statistik
Jena economic research papers 2007–08.,Working paper
Journal of international financial markets institutions and money. advance online publication. doi:,Journal of international financial markets institutions and money
Journal of mathmatical finance,Journal of mathematical finance
Management revue 12 5-22,Management revue 
Marketing news .,Marketing news 
Meeting paper,Conference paper
Methoden - daten - analysen,Methoden daten analysen
Munich personal repec archive,Working paper
Nber ma,Nber macroeconomics annual
Open economics review,Open economies review
Oxford bulletin of econ and stattisitcs,Oxford bulletin of economics and statistics
Paper prepared for the fedea report 2008,Working paper
Personality and individual differenc es,Personality and individual differences
Relation industriell,Relations industrielles/industrial relations
Report to the low pay commission,Report
Research department publications inter-american development bank research department,Working paper
Revies of international economics,Review of international economics
Review of black political economic,Review of black political economy
Review of world economics review of world economics,Review of world economics
Southern marketing association proc,Conference paper
Technical report,Working paper
Technical report paper,Working paper
Telecommunication policy,Telecommunications policy
The journal of politics vol. 65 no. 2 (may 2003) pp. 327-349,The journal of politics
The journal of socioeconomics,The journal of socio-economics
The lancet,Lancet
Transportation research a,Transportation research part a
Advances in consumer research volume 41,Advances in consumer research
American the economic journal: applied economics,American economic journal: applied economics
Annual review of poltical science,Annual review of political science
Asian‐pacific economic literature,Asian pacific economic literature
Corporate govenance,Corporate governance
Acta oeconomica.,Acta oeconomica
African journal of business ma,African journal of business management
. african journal of economic and management studies,African journal of economic and management studies
Annales d'économie et de statistique,Annales d'economie et de statistique
Bmj: british medical journal,British medical journal
Eds. corporation and human capital.,Book
European economic review.,European economic review
European financial management.,European financial management
European journal of law and economics.,European journal of law and economics
German economic review.,German economic review
World applied sciences journal 4(5) 736-740.,World applied sciences journal 
The international journal of accounting.,The international journal of accounting
Review of industrial organization.,Review of industrial organization
Pacific-basin finance,Pacific-basin finance journal
Journal of transport and land u,Journal of transport and land use
Journal of management and governance.,Journal of management and governance
Journal of human resource,Journal of human resources
Journal of financial and quantitative analysi,Journal of financial and quantitative analysis
Industiral relations,Industrial relations
Ilr review,Industrial and labor relations review
Evolution in human behavior,Evolution and human behavior
Economia intenazionale,Economia internazionale
Corporate governance: international review.,Corporate governance: an international review
Industiral relations,Industrial relations
Industrial marketing manage­ment,Industrial marketing management
Interna­tional marketing review,International marketing review
International journal for equit y in health,International journal for equity in health
J appl psychol,Journal of applied psychology
Labor unions and eco performance of firms,book
Laour economics,Labour economics
Review of industrial organization.,Review of industrial organization
European journal of law and economics.,European journal of law and economics
Journal of human resource,Journal of human resources
Work in progress,working paper
Working papper,working paper
Utilitis policy,Utilities policy
The review of finance and banking volume 02 issue 1 year 2010 pages 017—028,The review of finance and banking
The pakistan development review 44(4) 819-837,The pakistan development review 
The b. e. journal of economic analysis and policy,The be journal of economic analysis and policy 
The be journal of economic analysis and policy,The be journal of economic analysis and policy 
Strategic management journal.,Strategic management journal
Research in eco,Research in economics
World applied sciences journal ,World applied sciences journal
B.e. journal of macroeconomics: topics in macroeconomics,The be journal of macroeconomics
Ithe american economic review,the american economic review
The journal of human resources,Journal of human resources
Scottish journal of political economy jpe,Scottish journal of political economy
Annals of economics and statistics / annales d’économie et de statistique,Annals of economics and statistics
The quarterly review of economics and finance,Quarterly review of economics and finance
Journal of european economic association,Journal of the european economic association
Soulhern the economic journal,Southern economic journal
South the economic journal,Southern economic journal
Portuguese the economic journal,Portuguese economic journal
South asia the economic journal,South asia economic journal
The european journal of health economics,European journal of health economics
Law financa and economic growth,"Law, finance and economic growth"
International research journal of finance and economics issue 8 (2007) 57-62,International research journal of finance and economics issue
The european journal of finance,European journal of finance
The journal of human resources,Journal of human resources
The journal of industrial economics,Journal of industrial economics
The journal of public economics,Journal of public economics
Journal of public economic,Journal of public economics
Laour economics,Labour economics
Journal of labour economics,Journal of labor economics
Work in progress,Working paper
Working papper,Working paper
Industrial relations,Industrial relations: a journal of economy and society
Iza journal of migration,Iza journal of development and migration
Labor economics,Labour economics
Labour,Labour: review of labour economics and industrial relations
Review of labour economics and industrial relations,Labour: review of labour economics and industrial relations
The international migration review,International migration review
The journal of risk and uncertainty,Journal of risk and uncertainty
International journal of industrial organization.,International journal of industrial organization
Jena economic research papers 2007–08.,Working paper
Journal of famiy economic issues,Journal of family economic issues
Journal of cross cultural psychology,Journal of cross-cultural psychology
Health psychol,Health psychology
Asian‐pacific economic literature,Asian-pacific economic literature
Journal of economic behavior and organizatio,Journal of economic behavior and organization
Accounting auditing ＆ accountability journal,Accounting auditing and accountability journal
Am jprev med,American Journal of Preventive Medicine
American the economic journal: applied economic,American economic journal: applied economics
Annals of economic and finance,Annals of economics and finance
Annals of economics and statistics / annales d’économie et de statistique,Annals of economics and statistics
Annales d'économie et de statistique,Annals of economics and statistics
Annales d'economie et de statistique,Annals of economics and statistics
Asia-pacific economic literature,Asian-pacific economic literature
British journal of political scienc,British journal of political science
Canadian journal of economics/revue canadienne d'économique,Canadian journal of economics
Cesifo,Cesifo economic studies
Chapter (243–278) in institutional legal and economic aspects of emu breuss g. fink s. griller (eds.).,Book
Chapter (61–77) in poland and the eurozone jens hölscher (ed.),Book
Current psychology,Current psychology: a journal for diverse perspectives on diverse psychological issues
Eco dev and cul change,Economic development and cultural change
Econ letters,Economics letters
Economia internazionale/international economics,Economia internazionale
Economic of education review,Economics of education review
Economic of governance,Economics of governance
Economic of transition,Economics of transition
Economics - the open-access open-assessment e-journal kiel institute for the world economy,Economics : the open-access open-assessment e-journal
Environ behav,Environment and behavior
Environment and behaviour,Environment and behavior
Environment and planning a,Environment and planning a: economy and space
Eu­ropean journal of marketing,European journal of marketing
Eur j pers,European Journal of Personality
European journal of social science,European journal of social sciences
European research studies,European research studies journal
Evol psychol,Evolutionary psychology
Evolution human behavior,Evolution and human behavior
Federal reserve bank of st. luis review,Federal reserve bank of st. louis review
Federal reserve bank of st.luis review,Federal reserve bank of st. louis review
Frb st. louis review,Federal reserve bank of st. louis review
Front psychol,Frontiers in psychology
Geographic analysis,Geographical analysis
Health policy plan,Health policy and planning
Ifpri report research report 63,Ifpri report
Ifpri research report 112,Ifpri report
"In n. salvadori (ed.) institutional and social dynamics of growth and distribution
(pp. 137–168). cheltenham uk and northampton ma usa: edward elgar.",book
Industrial marketing manage­ment,Industrial marketing management
Interna­tional marketing review,International marketing review
International interactions,International interactions: empirical and theoretical research in international relations
International journal of economics ＆ financial issues,International journal of economics and financial issues
International journal of industrial organization.,International journal of industrial organization
International review of financial analysis.,International review of financial analysis
International review ofapplied economics,International review of applied economics
J cogn neurosci,Journal of Cognitive Neuroscience
J exp psychol gen.,Journal of Experimental Psychology: General
J exp soc psychol,Journal of Experimental Social Psychology
J nonverbal behav,Journal of Nonverbal Behavior
J of central banking theory and practice,Journal of Central Banking Theory and Practice
J public health manag pract,Journal of Public Health Management & Practice
Jour­nal of business research,Journal of business research
Journal of accounting ethics and public polic,Journal of accounting ethics and public policy
Journal of applied environmental and biological science,Journal of applied environmental and biological sciences
Journal of applied pyschology,Journal of applied psychology
Journal of business ethics.,Journal of business ethics
Journal of business finance andaccounting,Journal of business finance and accounting
Journal of business venturing.,Journal of business venturing
Journal of economic behavior and organizatio,Journal of economic behavior and organization
Journal of economic cooperation 29(2) 29-68,Journal of economic cooperation
Journal of emiprical finance,Journal of empirical finance
Journal of famiy economic issues,Journal of family economic issues
Journal of international business studies.,Journal of international business studies
Journal of international financial managment and accounting,Journal of international financial management and accounting
Journal of management studies.,Journal of management studies
Journal of post keynesian economics,Journal of post-keynesian economics
Journal of property investment and finance.,Journal of property investment and finance
Journal of public administration research and th eory,Journal of public administration research and theory
Journal of public policy marketing,Journal of public policy and marketing
Journal of world business.,Journal of world business
Journal of world system research,Journal of world systems research
Journal ofneuroscience,Journal of neuroscience
Judgement and decision making,Judgment and decision making
Lett evol behav sci,Letters on evolutionary behavioral science
London: allen and unwin,Book
Machester school,Manchester school
Multinational finance journal.,Multinational finance journal
Organizational behavior and human decision process,Organizational behavior and human decision processes
Pacific basin finance journal,Pacific-basin finance journal
Personality and individual diff,Personality and individual differences
Prev chron dis,Preventing Chronic Disease
Prev chronic dis,Preventing Chronic Disease
Publius,Publius: the journal of federalism
Qual quant,Quality and quantity
Research paper,Working paper
Research paper no. 24/2002. warsaw: national bank of poland,Working paper
Sci rep,Scientific Reports
"Siop conference new orleans
louisianapp. 1–12.",Conference paper
Small bus econ,Small business economics
Soc psychol,Social psychology
Som research report - theme e university of groningen groningen.,Working paper
Som research report university of groningen,Working paper
Span eco rev,Spanish economic review
Spoudai,Spoudai journal of economics and business
Springer verlag,Book
The review of finance and banking volume 02 issue 1 year 2010 pages 017—028,The review of finance and banking 
Tob control,Tobacco control
When public sector…,Book
Za-information 43:6-31.,Za-information 
Zuma-nachrichten 25:18-27.,Zuma-nachrichten 
Review of labour economics and industrial relations,Labour: review of labour economics and industrial relations
Transportation research part a,Transportation research part a: policy and practice
The pakistan development review ,The pakistan development review
The economics of transition the european bank for reconstruction and development vol. 15: 781-805.,The economics of transition
The developing economics,The developing economies
The american journal of tropical medicine and hyg,The american journal of tropical medicine and hygiene
Social science research center berlin,Working paper
Social behavior and personality,Social behavior and personality: an international journal
Rivista internazional di scienze economiche e commerciali,Rivista internazionale di scienze economiche e commerciali
Review of quantitative finance accounting,Review of quantitative finance and accounting
Report the james irvine foundation,Report
Report on minimum wage,Report
Report - chr. michelsen institute,Report
Rand corporation report,Report
Proceedings of the royal society: series b. biology,Proceedings of the royal society: series b. biological sciences
Proceedings of the royal society b: biological sciences,Proceedings of the royal society: series b. biological sciences
Pplied economics letters,Applied economics letters
Pnas,Proceedings of the national academy of sciences of the united states of america
Phd,Thesis
Perception and motor skills,Perceptual and motor skills
